ingredient,category,reason
titanium dioxide_6913,Bad,Potentially carcinogenic or disruptive to gut health.
polydextrose_1049,Good,Used as thickener or stabilizer with safe profile.
carrot powder_3781,Good,Naturally derived and well tolerated.
malt extract_3722,Bad,Linked to adverse health effects with prolonged use.
erythritol_1290,Excellent,Whole food derived with antioxidant properties.
isomalt_1254,Bad,Banned in some countries due to toxicity.
isomalt_4991,Unknown,Unclear sourcing or insufficient documentation.
sodium sulfite_5930,Unknown,Insufficient data for conclusive assessment.
molasses_3819,Bad,Linked to adverse health effects with prolonged use.
polydextrose_4008,Excellent,Recognized for anti-inflammatory benefits.
hydrolyzed wheat protein_8862,Good,Used as thickener or stabilizer with safe profile.
malt extract_6943,Unknown,Not found in standard food safety databases.
polydextrose_8212,Good,Naturally derived and well tolerated.
nutmeg_5447,Bad,Potentially carcinogenic or disruptive to gut health.
enzyme-modified cheese_9550,Bad,Banned in some countries due to toxicity.
garlic extract_2933,Good,Generally recognized as safe in moderate quantities.
butylated hydroxyanisole_4383,Unknown,Unclear sourcing or insufficient documentation.
agar-agar_3883,Bad,Potentially carcinogenic or disruptive to gut health.
lecithin_6672,Good,Naturally derived and well tolerated.
broccoli powder_4238,Bad,Potentially carcinogenic or disruptive to gut health.
yeast extract_7059,Excellent,Rich in essential vitamins or minerals.
pectin_5674,Good,Naturally derived and well tolerated.
disodium EDTA_7820,Bad,Banned in some countries due to toxicity.
sodium bicarbonate_9449,Bad,Highly processed additive with health concerns.
sodium sulfite_2862,Unknown,Insufficient data for conclusive assessment.
carrot powder_9222,Good,Generally recognized as safe in moderate quantities.
microcrystalline cellulose_2431,Good,Used as thickener or stabilizer with safe profile.
tapioca starch_4568,Bad,Highly processed additive with health concerns.
sodium chloride_7617,Good,Generally recognized as safe in moderate quantities.
phosphoric acid_8075,Good,Generally recognized as safe in moderate quantities.
sodium bicarbonate_7155,Bad,Potentially carcinogenic or disruptive to gut health.
butylated hydroxyanisole_7899,Excellent,Rich in essential vitamins or minerals.
agar-agar_7229,Bad,Highly processed additive with health concerns.
onion powder_8770,Excellent,Natural extract known to support health.
paprika_8237,Excellent,Recognized for anti-inflammatory benefits.
nutmeg_4967,Good,Used as thickener or stabilizer with safe profile.
carrot powder_8534,Bad,Highly processed additive with health concerns.
brominated vegetable oil_5729,Excellent,Recognized for anti-inflammatory benefits.
brown rice syrup_7233,Unknown,May be safe but lacks scientific consensus.
modified food starch_4582,Good,Common food additive with minimal side effects.
polydextrose_2712,Bad,Linked to adverse health effects with prolonged use.
alumina_9176,Bad,Highly processed additive with health concerns.
titanium dioxide_5737,Unknown,Insufficient data for conclusive assessment.
grape seed extract_6915,Bad,Highly processed additive with health concerns.
phosphoric acid_8002,Excellent,Natural extract known to support health.
black pepper_4529,Good,Used as thickener or stabilizer with safe profile.
sodium bicarbonate_6921,Good,Common food additive with minimal side effects.
green tea extract_9199,Good,Generally recognized as safe in moderate quantities.
yeast_3215,Good,Used as thickener or stabilizer with safe profile.
safflower oil_2485,Excellent,Rich in essential vitamins or minerals.
potassium chloride_4195,Good,Naturally derived and well tolerated.
broccoli powder_4846,Excellent,Natural extract known to support health.
calcium alginate_4039,Excellent,Natural extract known to support health.
isomalt_3302,Excellent,Whole food derived with antioxidant properties.
butylated hydroxyanisole_8852,Good,Naturally derived and well tolerated.
phosphoric acid_2910,Excellent,Natural extract known to support health.
natural smoke flavor_7290,Good,Used as thickener or stabilizer with safe profile.
canola lecithin_3876,Good,Naturally derived and well tolerated.
sodium bicarbonate_5298,Good,Naturally derived and well tolerated.
canola lecithin_6460,Good,Common food additive with minimal side effects.
agar-agar_9719,Bad,Banned in some countries due to toxicity.
pectin_2437,Good,Used as thickener or stabilizer with safe profile.
canola lecithin_6194,Good,Common food additive with minimal side effects.
rice bran oil_7583,Good,Common food additive with minimal side effects.
modified food starch_3481,Bad,Linked to adverse health effects with prolonged use.
disodium EDTA_7215,Excellent,Natural extract known to support health.
propylene glycol alginate_6509,Good,Generally recognized as safe in moderate quantities.
paprika_4944,Good,Common food additive with minimal side effects.
silicon dioxide_2732,Good,Used as thickener or stabilizer with safe profile.
butylated hydroxytoluene_9570,Excellent,Natural extract known to support health.
sodium chloride_2650,Bad,Linked to adverse health effects with prolonged use.
sodium bicarbonate_4946,Good,Naturally derived and well tolerated.
calcium carbonate_1264,Bad,Banned in some countries due to toxicity.
corn starch_4398,Excellent,Recognized for anti-inflammatory benefits.
titanium dioxide_2238,Good,Common food additive with minimal side effects.
isomalt_1065,Good,Generally recognized as safe in moderate quantities.
enzyme-modified cheese_2793,Unknown,Insufficient data for conclusive assessment.
vegetable glycerin_4306,Excellent,Rich in essential vitamins or minerals.
tapioca starch_6187,Good,Naturally derived and well tolerated.
malt extract_7443,Good,Common food additive with minimal side effects.
brown rice syrup_1166,Bad,Linked to adverse health effects with prolonged use.
benzoic acid_6295,Excellent,Natural extract known to support health.
natural smoke flavor_5459,Excellent,Whole food derived with antioxidant properties.
